City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Solvychegodsk,RU,61.3305,46.9156,53.58,76,5,3.78,clear sky
307,Cochabamba,BO,-17.3895,-66.1568,55.2,38,32,2.3,scattered clouds
308,Grindavik,IS,63.8424,-22.4338,48.67,87,75,24.16,broken clouds
309,Mount Gambier,AU,-37.8333,140.7667,54.5,50,39,6.53,scattered clouds
310,Mangrol,IN,21.1167,70.1167,80.28,86,100,14.07,overcast clouds
311,Xinyang,CN,32.1228,114.0656,87.08,72,100,6.31,overcast clouds
312,Cap Malheureux,MU,-19.9842,57.6142,70.47,73,0,7.0,clear sky
313,Abonnema,NG,4.7084,6.7931,74.01,94,52,3.58,light rain
314,Pemberton,CA,50.3164,-122.8027,76.06,77,80,5.82,broken clouds
315,Portland,US,45.5234,-122.6762,83.53,62,75,6.91,broken clouds
316,Baruun-Urt,MN,46.6806,113.2792,66.47,43,26,8.61,scattered clouds
317,Ola,RU,59.5833,151.2833,57.15,93,100,6.08,light rain
318,Klaksvik,FO,62.2266,-6.589,50.92,89,91,16.82,overcast clouds
319,Sitka,US,57.0531,-135.33,62.49,72,0,4.61,clear sky
320,Ahipara,NZ,-35.1667,173.1667,63.99,85,5,11.79,clear sky
321,Gorontalo,ID,0.5412,123.0595,83.91,68,97,9.98,overcast clouds
322,Zaysan,KZ,47.4667,84.8667,53.51,47,32,7.43,scattered clouds
323,Koslan,RU,63.4564,48.8989,60.4,83,3,4.79,clear sky
324,Courtenay,CA,49.6866,-124.9936,78.39,62,75,2.3,broken clouds
325,High Level,CA,58.5169,-117.136,80.22,40,91,1.63,overcast clouds
326,Bartica,GY,6.4,-58.6167,79.12,93,56,3.4,broken clouds
327,Adrar,MR,20.5022,-10.0711,89.56,42,2,8.05,clear sky
328,Vao,NC,-22.6667,167.4833,68.65,78,100,13.62,overcast clouds
329,Megion,RU,61.0296,76.1136,53.62,82,85,8.21,overcast clouds
330,Porto Novo,BJ,6.4965,2.6036,74.14,88,99,6.71,light rain
331,Gigante,CO,2.3868,-75.5453,70.02,74,100,4.03,overcast clouds
332,Mecca,SA,21.4267,39.8261,88.07,53,72,1.68,broken clouds
333,Axim,GH,4.8699,-2.2405,74.35,89,100,9.71,overcast clouds
